professor_name,school_name,department_name,local_name,state_name,year_since_first_review,star_rating,take_again,diff_index,tag_professor,pro_feedback,pro_respected,pro_homework,pro_accessible,pro_ready,pro_participation,pro_skip,pro_inspirational,pro_graded,pro_teheavy,pro_group,pro_criteria,pro_hilarious,pro_quizzes,pro_amazing,pro_leheavy,pro_caring,pro_credit,pro_papers,pro_tough,num_student,post_date,name_onlines,name_not_onlines,student_star,online,offline,student_difficult,attence,for_credits,would_take_agains,grades,stu_tags,stu_feedback,stu_respected,stu_homework,stu_accessible,stu_ready,stu_participation,stu_skip,stu_inspirational,stu_graded,stu_teheavy,stu_group,stu_criteria,stu_hilarious,stu_quizzes,stu_amazing,stu_leheavy,stu_caring,stu_credit,stu_papers,stu_tough,help_useful,help_not_useful,comments
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,05/04/2018,NAN,FIN440,3.0,0,1,4,Mandatory,Yes,No,B,ACCESSIBLE OUTSIDE CLASS  LECTURE HEAVY  CLEAR GRADING CRITERIA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Great guy, but makes the course very tough. Gives you weekly homework which is not bad, but then the exams do not contain anything from the homework, they are just from his really long lecture notes. Not the most interesting class."
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,12/11/2017,NAN,FINA311,4.0,0,1,4,Mandatory,Yes,Yes,C,LECTURE HEAVY  ACCESSIBLE OUTSIDE CLASS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,He\'ll provide more info on tests and topics if you ask. Knows his stuff and the in class discussions are enjoyable. Do the homework and study well. Some extra credit opportunities on tests.
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,03/29/2017,NAN,FIN311,4.0,0,1,3,Mandatory,Yes,Yes,,SKIP CLASS? YOU WON\'T PASS.  GIVES GOOD FEEDBACK  TEST HEAVY,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Tests are 75% of your grade, if you are willing to go to him for help then you will be okay. He does want his students to pass, so ASK questions. Really do not be afraid to ask questions, and do the additional problems he puts on myclasses. He does do like one extra credit event."
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,01/04/2017,NAN,FIN311,1.0,0,1,1,Mandatory,Yes,No,B+,TOUGH GRADER  TEST HEAVY  LOTS OF HOMEWORK,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"This class in general is very difficult but this professor didn\'t help at all. Limited office hours, no extra credit and your grade is 75% exams. homework is 25%. He expects you to read each chapter 4 times, and come with questions. Wont tell anyone what is on the exams. If you don\'t ask, he doesn\'t tell. Will make you feel dumb for asking ?\'s"
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,11/16/2016,NAN,FIN311,2.0,0,1,5,Mandatory,Yes,No,,SKIP CLASS? YOU WON\'T PASS.  GET READY TO READ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I don\'t know if it is him or the class itself but it\'s VERY difficult. Makes you feel stupid when asking questions and poor office hour times.
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,11/03/2015,NAN,FINA311,5.0,0,1,4,Mandatory,Yes,,,GIVES GOOD FEEDBACK  LOTS OF HOMEWORK  SKIP CLASS? YOU WON\'T PASS.,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"He\'s great! Take him if you have problems in Math as he will explain everything. Homework is due about every week over the online access. Exams are open book, open notes but not to take lightly. He grades nicely, if you are on the right track, he\'ll give you a lot of points. I would recommend to take him if you have heard ""the bad"" about FINA 311."
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,05/17/2012,NAN,FINA440,3.5,0,1,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,Ervin\'s a good guy but he is challenging. You will have to work and re-work his problems before the test and he likes to throw curveballs in there. Homework is worth 28% of the final grade though and is pretty easy. Managed to get a C in the class without killing myself
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,05/15/2012,NAN,FINA440,3.0,0,1,3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Homework is completely irrevelant to the exams, but it does help boost your grade. Exams are straight from lecturers, you\'re allowed to have a formula sheet double sided but his exams still seem to stump everybody. Willing to help you but he expects you to know everything. You sink or You swim."
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,05/16/2011,NAN,FINA440,1.0,0,1,5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"DO NOT TAKE! As the poster below me said, his exams are IMPOSSIBLE. I studied a minimum of 10 hours for each exam and am struggling to hold a C. Dont bother asking him whats on the exam, he will just send the class an email listing the names of the chapters covered. He doesn\'t care if people fail and does little to help those struggling."
Danny  Ervin,Salisbury University,Business department, Salisbury, MD,12,3.1,40%,3.6,Skip class? You won\'t pass. (3)  Gives good feedback (2)  TEST HEAVY (2)  LOTS OF HOMEWORK (2)  ACCESSIBLE OUTSIDE CLASS (2)  LECTURE HEAVY (2)  Tough Grader (1)  Clear grading criteria (1)  Get ready to read (1),2,0,2,2,1,0,3,0,0,2,0,1,0,0,0,2,0,0,0,1,37,05/12/2011,NAN,FINA440,1.0,0,1,5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"This guy is a joke!!! Over half of the class is going to get a D or lower for their final grade and he thinks thats a good thing....will never give a student an A its one of his policies, test are impossible and admits to making them that way on purpose...worst part is he is the only teacher that teaches this class!"
