Mathematics department,120
Science department,93
Business department,55
English department,48
History department,38
Psychology department,37
Medicine department,35
Political Science department,34
Accounting department,29
Fine Arts department,20
Sociology department,20
Ethnic Studies department,20
Hospitality department,20
Languages department,20
Computer Science department,20
Humanities department,20
Marketing department,20
Management department,20
Music department,20
Communication department,17
Philosophy department,15
Chinese department,12
Dance department,12
Engineering department,10
Economics department,10
Education department,3
Total,768
